NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;--;;;0.0000;0.0000;276;0.0000;9575;34;1.5274;40;4;0;158;118;140;5;9463;30;1261;1135
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;Si;;;366.4044;142.0172;100;15208.6232;9337;1372;1.4966;36;1;16;79;21;79;21;5790;892;82;161
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;--;;;0.0000;0.0000;287;0.0000;9850;33;1.5363;46;8;0;165;122;146;4;9735;29;1340;1147
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;Si;;;411.8499;149.1180;105;16297.8953;9987;1489;1.4525;35;1;14;76;29;75;29;6200;960;80;175
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;No;152.76;0.799587;191.0487;79.5573;6156;1838.8009;87378;54905;5.5010;581;112;87;2490;3666;2748;3697;69098;48063;64962;203505
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;No;159.224;0.810288;196.5025;81.8965;6337;1839.7185;87236;55118;5.6448;610;114;93;2530;3807;2779;3833;68922;48212;65405;200182
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;--;;;0.0000;0.0000;291;0.0000;9813;34;1.5625;49;9;1;167;124;147;5;9697;31;1343;1146
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;Si;;;423.2112;151.9584;107;16381.6854;9967;1568;1.4896;35;1;17;77;30;77;30;6193;990;81;174
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;--;;;0.0000;0.0000;309;0.0000;9534;31;1.6944;57;12;1;179;130;156;4;9415;28;1381;1159
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;Si;;;433.1524;190.3030;134;16792.1152;10129;1695;1.9283;39;1;19;99;35;106;35;6259;1053;82;171
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;No;166.37;0.821478;202.5248;85.1661;6590;1849.4241;87304;55801;5.8834;619;122;91;2603;3987;2895;4028;68927;48744;66497;201626
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;--;;;0.0000;0.0000;329;0.0000;9853;31;1.6482;68;16;1;188;141;156;5;9742;26;1435;1075
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;Si;;;462.9761;214.4459;151;17407.0497;10458;1799;2.0515;39;1;22;111;40;117;40;6499;1154;90;172
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;No;177.78;0.84054;211.5067;90.8525;7030;1867.7109;87970;56550;6.1980;616;148;96;2729;4301;3031;4328;69346;49386;74396;191841
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;No;188.362;0.854893;220.3335;96.0994;7436;1893.9586;89471;57080;6.4746;629;132;100;2882;4554;3209;4585;70422;49956;79900;179834
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;--;;;0.0000;0.0000;377;0.0000;9908;31;1.8745;66;16;2;212;165;179;5;9790;26;1443;988
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;Si;;;470.0769;222.9670;157;18617.0363;11267;1842;2.0800;42;1;24;108;49;121;50;7021;1200;97;172
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;--;;;0.0000;0.0000;415;0.0000;9797;36;2.0805;73;19;4;229;186;196;6;9678;31;1550;1135
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;Si;;;470.0769;230.0678;162;18700.8265;11332;1836;2.1491;45;0;30;110;52;121;54;6933;1210;91;157
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;No;199.77;0.863423;231.3702;100.9458;7811;1885.9331;88187;57743;6.8074;661;137;91;3006;4805;3323;4840;69346;50567;82266;166626
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;No;209.984;0.865508;242.6137;104.9908;8124;1897.0474;88274;58516;7.0674;674;138;110;3075;5049;3429;5102;69366;51344;89195;153806
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;--;;;0.0000;0.0000;465;0.0000;9681;34;2.2910;72;18;5;246;219;214;6;9573;30;1630;1103
